departmentFamily,entity,date,expenseType,expenseArea,supplier,transactionNumber,amount,invoiceCurrencyUnit
BIS,EPSRC,2016-08-01,Consumables,JRS,Banner Business Services Limited,94542380,4.12,GBP
BIS,EPSRC,2016-08-01,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,94558949,16.1,GBP
BIS,EPSRC,2016-08-01,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,94558949,23.25,GBP
BIS,EPSRC,2016-08-01,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94558949,5,GBP
BIS,EPSRC,2016-08-01,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94558949,5.95,GBP
BIS,EPSRC,2016-08-01,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94558949,10,GBP
BIS,EPSRC,2016-08-01,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94558949,23.02,GBP
BIS,EPSRC,2016-08-01,Printing & Stationery,Strategy,Banner Business Services Limited,94611384,42.25,GBP
BIS,EPSRC,2016-08-01,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,4.16,GBP
BIS,EPSRC,2016-08-01,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,12.48,GBP
BIS,EPSRC,2016-08-01,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,31.44,GBP
BIS,EPSRC,2016-08-01,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,66.2,GBP
BIS,EPSRC,2016-08-01,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,74.34,GBP
BIS,EPSRC,2016-08-01,Consumables,JRS,Banner Business Services Limited,94611456,0.36,GBP
BIS,EPSRC,2016-08-01,Consumables,JRS,Banner Business Services Limited,94611456,1.8,GBP
BIS,EPSRC,2016-08-01,Consumables,JRS,Banner Business Services Limited,94611457,20.58,GBP
BIS,EPSRC,2016-08-01,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,95119667,45.6,GBP
BIS,EPSRC,2016-08-01,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,95119667,22.05,GBP
BIS,EPSRC,2016-08-01,Staff Training,EPSRC Corporate Services,Chartered Institute Of Purchasing & Supply,95261215,68.04,GBP
BIS,EPSRC,2016-08-01,Consumables,JRS,Banner Business Services Limited,95261551,4.12,GBP
BIS,EPSRC,2016-08-01,Staff Training,EPSRC Corporate Services,Chartered Institute Of Purchasing & Supply,95261753,4032,GBP
BIS,EPSRC,2016-08-01,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261890,75,GBP
BIS,EPSRC,2016-08-01,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261898,160,GBP
BIS,EPSRC,2016-08-01,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261901,160,GBP
BIS,EPSRC,2016-08-01,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261903,75,GBP
BIS,EPSRC,2016-08-01,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261905,75,GBP
BIS,EPSRC,2016-08-01,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261909,75,GBP
BIS,EPSRC,2016-08-01,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261912,75,GBP
BIS,EPSRC,2016-08-01,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261913,75,GBP
BIS,EPSRC,2016-08-01,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261916,75,GBP
BIS,EPSRC,2016-08-01,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261918,75,GBP
BIS,EPSRC,2016-08-01,T&S UK - Public Transport,Programme Delivery Leaders,Unspecified,95262490,11,GBP
BIS,EPSRC,2016-08-01,T&S UK - Public Transport,Programme Delivery Leaders,Unspecified,95262490,23.8,GBP
BIS,EPSRC,2016-08-01,T&S UK - Subsistence,Programme Delivery Leaders,Unspecified,95262490,6.68,GBP
BIS,EPSRC,2016-08-01,T&S UK - Subsistence,Programme Delivery Leaders,Unspecified,95262490,8.79,GBP
BIS,EPSRC,2016-08-02,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,94516102,18.15,GBP
BIS,EPSRC,2016-08-02,Secondments,Newton Programme Management Team,Met Office,95099378,18064.06,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95120051,160,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin External Panel Member payments,Unspecified,95168185,80,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin External Panel Member payments,Unspecified,95168186,80,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin External Panel Member payments,Unspecified,95168187,80,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin External Panel Member payments,Unspecified,95168188,80,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261893,160,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261894,160,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261895,160,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261896,160,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261897,160,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261899,160,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261900,160,GBP
BIS,EPSRC,2016-08-02,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95263372,95,GBP
BIS,EPSRC,2016-08-02,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95263373,95,GBP
BIS,EPSRC,2016-08-02,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95263500,75,GBP
BIS,EPSRC,2016-08-02,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95263524,484.72,GBP
BIS,EPSRC,2016-08-02,Non-staff travel and subsistance,Programme Delivery Quantum Technology,Non Employee Expenses Supplier,95263525,65.5,GBP
BIS,EPSRC,2016-08-02,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95263526,36.6,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95263527,160,GBP
BIS,EPSRC,2016-08-02,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95263528,138.2,GBP
BIS,EPSRC,2016-08-02,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,95263529,86.4,GBP
BIS,EPSRC,2016-08-02,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,95263530,80,GBP
BIS,EPSRC,2016-08-02,Non-staff travel and subsistance,Director RB/UR,Non Employee Expenses Supplier,95263531,129.6,GBP
BIS,EPSRC,2016-08-02,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95263532,303.1,GBP
BIS,EPSRC,2016-08-02,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,95263593,16.7,GBP
BIS,EPSRC,2016-08-02,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,95263593,83.49,GBP
BIS,EPSRC,2016-08-02,T&S UK - Vehicle Hire,Admin RCUK Strategy Unit,Enterprise Rent-A-Car UK Ltd,95263593,8.44,GBP
BIS,EPSRC,2016-08-02,T&S UK - Vehicle Hire,Admin RCUK Strategy Unit,Enterprise Rent-A-Car UK Ltd,95263593,42.22,GBP
BIS,EPSRC,2016-08-02,T&S UK - Vehicle Hire,Director BI/BR,Enterprise Rent-A-Car UK Ltd,95263593,11.97,GBP
BIS,EPSRC,2016-08-02,T&S UK - Vehicle Hire,Director BI/BR,Enterprise Rent-A-Car UK Ltd,95263593,59.83,GBP
BIS,EPSRC,2016-08-02,T&S UK - Subsistence,Communications and Stakeholder Engagement,Unspecified,95264355,8.39,GBP
BIS,EPSRC,2016-08-02,T&S UK - Subsistence,Communications and Stakeholder Engagement,Unspecified,95264355,9.25,GBP
BIS,EPSRC,2016-08-02,T&S UK - Subsistence,Communications and Stakeholder Engagement,Unspecified,95264355,15.38,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Programme Delivery Healthcare,Unspecified,94545263,6.6,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Healthcare,Unspecified,94545263,1.3,GBP
BIS,EPSRC,2016-08-03,Agency Staff,Programme Delivery Energy,Brook Street (UK) Ltd,94545387,563.84,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Admin RCUK Strategy Unit,Unspecified,94865372,4.8,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,94865372,8.99,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,94865372,15,GBP
BIS,EPSRC,2016-08-03,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,XMA Ltd,95222879,250.12,GBP
BIS,EPSRC,2016-08-03,Hospitality,Programme Delivery Energy,Calder Conference Ltd,95260287,1.2,GBP
BIS,EPSRC,2016-08-03,Hospitality,Programme Delivery Energy,Calder Conference Ltd,95260287,12.9,GBP
BIS,EPSRC,2016-08-03,Hospitality,Programme Delivery Energy,Calder Conference Ltd,95260287,60,GBP
BIS,EPSRC,2016-08-03,Hospitality,Programme Delivery Energy,Calder Conference Ltd,95260287,2520,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Quantum Technology,Non Employee Expenses Supplier,95264495,262.61,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Quantum Technology,Non Employee Expenses Supplier,95264496,65.5,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin RCUK Strategy Unit,Non Employee Expenses Supplier,95264497,187.79,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin RCUK Strategy Unit,Non Employee Expenses Supplier,95264498,26.1,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95264499,23.5,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95264500,286.98,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95264501,58.4,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264502,67.91,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264503,78.8,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Chief Executive,Non Employee Expenses Supplier,95264504,388.65,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Chief Executive,Non Employee Expenses Supplier,95264505,88.7,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264506,168.25,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264507,75.39,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,95264508,147.85,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264509,402.09,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264510,33.1,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264512,31.15,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264513,40.2,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264514,78.5,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264515,254.7,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264516,121.8,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264517,80,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264518,56.5,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264519,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264520,22.5,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264521,240,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264522,107.24,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264523,71.83,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Engineering,Non Employee Expenses Supplier,95264524,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264525,549.72,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Engineering,Non Employee Expenses Supplier,95264526,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264527,178.99,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264528,141.2,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,RCUK-Newton Activity,Non Employee Expenses Supplier,95264529,1.3,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),RCUK-Newton Activity,Non Employee Expenses Supplier,95264530,80,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,RCUK-Newton Activity,Non Employee Expenses Supplier,95264531,6.78,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),RCUK-Newton Activity,Non Employee Expenses Supplier,95264532,80,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95264533,260.31,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264534,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264535,108.65,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264536,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264537,13.3,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264538,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264539,126.3,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95264540,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264541,206.8,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95264542,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264543,93.6,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95264544,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264545,56.5,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95264546,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264547,125.15,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95264548,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,95264549,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264550,100.8,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264551,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264552,95.25,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264553,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264554,56.5,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264555,61.98,GBP
BIS,EPSRC,2016-08-03,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264556,160,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,95264557,240,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,95264558,37,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264560,63,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95264561,129.3,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264562,48.1,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,95264563,124.6,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,95264564,36.3,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,95264565,248.3,GBP
BIS,EPSRC,2016-08-03,Other Pension Deductions,Balance Sheet,Scottish Widows,95264622,197.57,GBP
BIS,EPSRC,2016-08-03,Partnership Pension Deductions,Balance Sheet,Scottish Widows,95264623,1328.92,GBP
BIS,EPSRC,2016-08-03,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,95264624,1161.66,GBP
BIS,EPSRC,2016-08-03,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,95264625,5,GBP
BIS,EPSRC,2016-08-03,Union Deductions,Balance Sheet,PCS Union,95264626,273.45,GBP
BIS,EPSRC,2016-08-03,Union Deductions,Balance Sheet,Prospect Union,95264627,35.26,GBP
BIS,EPSRC,2016-08-03,Partnership Pension Deductions,Balance Sheet,Standard Life Assurance Ltd,95264631,285.27,GBP
BIS,EPSRC,2016-08-03,Partnership Pension Deductions,Balance Sheet,Prudential Plc,95264632,419.13,GBP
BIS,EPSRC,2016-08-03,Reward & Recognition Team Advances,Balance Sheet,P&MM Limited,95264633,47.6,GBP
BIS,EPSRC,2016-08-03,Meetings & Catering,Admin RCUK Strategy Unit,Baxter Storey Ltd,95264704,354.97,GBP
BIS,EPSRC,2016-08-03,Meetings & Catering,EPSRC Corporate Services,Baxter Storey Ltd,95264704,908.34,GBP
BIS,EPSRC,2016-08-03,Other Staff Benefits,EPSRC Corporate Services,Fruitdrop Ltd,95264707,240,GBP
BIS,EPSRC,2016-08-03,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,Swindon Occupational Medical Services Ltd,95264744,1320,GBP
BIS,EPSRC,2016-08-03,Non-staff travel and subsistance,Chief Executive,V Cars Ltd,95265557,55.8,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Admin Business Innovation Director,V Cars Ltd,95265557,18,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Chief Executive,V Cars Ltd,95265557,32.04,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Strategy,V Cars Ltd,95265557,222.48,GBP
BIS,EPSRC,2016-08-03,Hardware/Software Maintenance,JRS,Kennedy Grinding Ltd,95265649,61.2,GBP
BIS,EPSRC,2016-08-03,Printing & Stationery,JRS,Acorn Press Swindon Ltd,95265652,2317,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,95265728,5,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,95265728,7.19,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,95265728,10,GBP
BIS,EPSRC,2016-08-03,Health & Safety (inc. Medicals & Opticians),Programme Delivery Engineering,Unspecified,95265729,25,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,95265730,4.75,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,95265730,7.83,GBP
BIS,EPSRC,2016-08-03,T&S UK - Parking Tolls Congestion Charges,Programme Delivery Energy,Unspecified,95265731,32,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,95265731,31,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,95265731,101.2,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95265731,15,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95265731,16.14,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95265731,117.6,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,External communications,Unspecified,95265732,19.4,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,External communications,Unspecified,95265732,5.79,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,External communications,Unspecified,95265732,15,GBP
BIS,EPSRC,2016-08-03,T&S UK - Parking Tolls Congestion Charges,Programme Delivery LWEC,Unspecified,95265733,27,GBP
BIS,EPSRC,2016-08-03,T&S UK - Public Transport,Programme Delivery LWEC,Unspecified,95265733,19.75,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery LWEC,Unspecified,95265733,5,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery LWEC,Unspecified,95265733,10,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery LWEC,Unspecified,95265733,19.15,GBP
BIS,EPSRC,2016-08-03,T&S UK - Mileage,Programme Delivery Digital Economy,Unspecified,95265734,240.75,GBP
BIS,EPSRC,2016-08-03,T&S UK - Parking Tolls Congestion Charges,Programme Delivery Digital Economy,Unspecified,95265734,20,GBP
BIS,EPSRC,2016-08-03,T&S UK - Subsistence,Programme Delivery Digital Economy,Unspecified,95265734,10,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,94515090,29.72,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,94515090,148.61,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,94515090,1159.08,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,94515090,1161.86,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,94515090,1398.6,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,94515090,1857.61,GBP
BIS,EPSRC,2016-08-04,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,95265467,24.62,GBP
BIS,EPSRC,2016-08-04,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,95265467,47.33,GBP
BIS,EPSRC,2016-08-04,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,95265467,66.02,GBP
BIS,EPSRC,2016-08-04,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,95265467,138.3,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,95266197,96.14,GBP
BIS,EPSRC,2016-08-04,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,95266477,37.46,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,95266636,148.6,GBP
BIS,EPSRC,2016-08-04,Consumables,JRS,Premier Paper Group Ltd,95266636,29.72,GBP
BIS,EPSRC,2016-08-04,Other Bought In Services,EPSRC Corporate Services,Williams Lea,95266738,720,GBP
BIS,EPSRC,2016-08-04,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,95266836,4.7,GBP
BIS,EPSRC,2016-08-04,T&S UK - Vehicle Hire,Director BI/BR,Unspecified,95266837,15.03,GBP
BIS,EPSRC,2016-08-04,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95266838,2.94,GBP
BIS,EPSRC,2016-08-04,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95266838,35,GBP
BIS,EPSRC,2016-08-04,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Unspecified,95266838,54.22,GBP
BIS,EPSRC,2016-08-04,T&S UK - Public Transport,Programme Delivery Quantum Technology,Unspecified,95266839,5,GBP
BIS,EPSRC,2016-08-04,T&S UK - Public Transport,Programme Delivery Quantum Technology,Unspecified,95266839,6.1,GBP
BIS,EPSRC,2016-08-04,T&S UK - Subsistence,Programme Delivery Quantum Technology,Unspecified,95266839,19.07,GBP
BIS,EPSRC,2016-08-04,T&S UK - Subsistence,Programme Delivery Quantum Technology,Unspecified,95266839,31.65,GBP
BIS,EPSRC,2016-08-05,Health & Safety (inc. Medicals & Opticians),RCUK-Newton Activity,Unspecified,95209791,76,GBP
BIS,EPSRC,2016-08-05,T&S Overseas - Other Charges,RCUK-Newton Activity,Unspecified,95209791,3.33,GBP
BIS,EPSRC,2016-08-05,T&S Overseas - Public Transport,RCUK-Newton Activity,Unspecified,95209791,7.25,GBP
